T,M
856, -0.092
857, -0.092
858, -0.082
859, -0.085
860, -0.093
861, -0.091
862, -0.088
863, -0.097
864, -0.104
865, -0.098
866, -0.094
867, -0.101
868, -0.095
869, -0.088
870, -0.089
871, -0.084
872, -0.101
873, -0.093
874, -0.085
875, -0.088
876, -0.089
877, -0.095
878, -0.090
879, -0.087
880, -0.087
881, -0.089
882, -0.086
883, -0.091
884, -0.102
885, -0.092
886, -0.092
887, -0.095
888, -0.099
889, -0.100
890, -0.104
891, -0.108
892, -0.114
893, -0.106
894, -0.113
895, -0.125
896, -0.119
897, -0.126
898, -0.115
899, -0.112
900, -0.111
901, -0.112
902, -0.122
903, -0.115
904, -0.118
905, -0.126
906, -0.121
907, -0.131
908, -0.130
909, -0.127
910, -0.140
911, -0.143
912, -0.147
913, -0.146
914, -0.143
915, -0.141
916, -0.138
917, -0.141
918, -0.143
919, -0.146
920, -0.151
921, -0.144
922, -0.140
923, -0.153
924, -0.151
925, -0.156
926, -0.150
927, -0.154
928, -0.158
929, -0.156
930, -0.153
931, -0.150
932, -0.146
933, -0.144
934, -0.137
935, -0.127
936, -0.137
937, -0.140
938, -0.148
939, -0.140
940, -0.140
941, -0.133
942, -0.143
943, -0.142
944, -0.141
945, -0.130
946, -0.128
947, -0.135
948, -0.133
949, -0.123
950, -0.137
951, -0.126
952, -0.123
953, -0.128
954, -0.116
955, -0.106
956, -0.116
957, -0.126
958, -0.132
959, -0.132
960, -0.127
961, -0.127
962, -0.140
963, -0.150
964, -0.146
965, -0.150
966, -0.164
967, -0.175
968, -0.167
969, -0.166
970, -0.177
971, -0.168
972, -0.170
973, -0.162
974, -0.161
975, -0.170
976, -0.177
977, -0.172
978, -0.183
979, -0.184
980, -0.180
981, -0.182
982, -0.169
983, -0.167
984, -0.171
985, -0.174
986, -0.168
987, -0.171
988, -0.181
989, -0.186
990, -0.191
991, -0.192
992, -0.185
993, -0.180
994, -0.190
995, -0.189
996, -0.184
997, -0.177
998, -0.180
999, -0.166
1000, -0.157
1001, -0.150
1002, -0.152
1003, -0.166
1004, -0.166
1005, -0.173
1006, -0.172
1007, -0.165
1008, -0.163
1009, -0.158
1010, -0.157
1011, -0.154
1012, -0.155
1013, -0.141
1014, -0.140
1015, -0.135
1016, -0.123
1017, -0.120
1018, -0.122
1019, -0.125
1020, -0.118
1021, -0.117
1022, -0.114
1023, -0.117
1024, -0.103
1025, -0.097
1026, -0.099
1027, -0.099
1028, -0.105
1029, -0.104
1030, -0.092
1031, -0.093
1032, -0.100
1033, -0.099
1034, -0.104
1035, -0.112
1036, -0.105
1037, -0.103
1038, -0.102
1039, -0.096
1040, -0.095
1041, -0.098
1042, -0.092
1043, -0.091
1044, -0.101
1045, -0.101
1046, -0.109
1047, -0.101
1048, -0.096
1049, -0.093
1050, -0.093
1051, -0.093
1052, -0.094
1053, -0.104
1054, -0.103
1055, -0.099
1056, -0.095
1057, -0.089
1058, -0.088
1059, -0.092
1060, -0.098
1061, -0.104
1062, -0.106
1063, -0.099
1064, -0.091
1065, -0.105
1066, -0.106
1067, -0.112
1068, -0.113
1069, -0.123
1070, -0.133
1071, -0.125
1072, -0.129
1073, -0.125
1074, -0.115
1075, -0.126
1076, -0.123
1077, -0.125
1078, -0.123
1079, -0.122
1080, -0.123
1081, -0.132
1082, -0.137
1083, -0.129
1084, -0.125
1085, -0.126
1086, -0.121
1087, -0.131
1088, -0.127
1089, -0.130
1090, -0.130
1091, -0.131
1092, -0.135
1093, -0.134
1094, -0.138
1095, -0.141
1096, -0.155
1097, -0.154
1098, -0.161
1099, -0.153
1100, -0.158
1101, -0.152
1102, -0.161
1103, -0.163
1104, -0.169
1105, -0.164
1106, -0.161
1107, -0.162
1108, -0.159
1109, -0.165
1110, -0.168
1111, -0.164
1112, -0.167
1113, -0.172
1114, -0.162
1115, -0.164
1116, -0.161
1117, -0.157
1118, -0.168
1119, -0.166
1120, -0.168
1121, -0.154
1122, -0.154
1123, -0.153
1124, -0.138
1125, -0.133
1126, -0.136
1127, -0.139
1128, -0.155
1129, -0.164
1130, -0.168
1131, -0.173
1132, -0.167
1133, -0.168
1134, -0.172
