T,M
10612, -0.253
10613, -0.268
10614, -0.270
10615, -0.265
10616, -0.263
10617, -0.273
10618, -0.268
10619, -0.265
10620, -0.253
10621, -0.255
10622, -0.267
10623, -0.269
10624, -0.269
10625, -0.273
10626, -0.266
10627, -0.262
10628, -0.266
10629, -0.269
10630, -0.272
10631, -0.265
10632, -0.261
10633, -0.262
10634, -0.268
10635, -0.274
10636, -0.273
10637, -0.277
10638, -0.279
10639, -0.284
10640, -0.279
10641, -0.288
10642, -0.291
10643, -0.297
10644, -0.291
10645, -0.299
10646, -0.314
10647, -0.307
10648, -0.301
10649, -0.308
10650, -0.290
10651, -0.297
10652, -0.295
10653, -0.280
10654, -0.279
10655, -0.275
10656, -0.286
10657, -0.278
10658, -0.285
10659, -0.289
10660, -0.297
10661, -0.290
10662, -0.298
10663, -0.292
10664, -0.291
10665, -0.302
10666, -0.296
10667, -0.293
10668, -0.298
10669, -0.289
10670, -0.289
10671, -0.287
10672, -0.283
10673, -0.282
10674, -0.280
10675, -0.278
10676, -0.292
10677, -0.288
10678, -0.291
10679, -0.290
10680, -0.284
10681, -0.282
10682, -0.273
10683, -0.286
10684, -0.287
10685, -0.287
10686, -0.283
10687, -0.275
10688, -0.276
10689, -0.281
10690, -0.269
10691, -0.272
10692, -0.269
10693, -0.261
10694, -0.263
10695, -0.272
10696, -0.277
10697, -0.278
10698, -0.283
10699, -0.266
10700, -0.263
10701, -0.277
10702, -0.282
10703, -0.280
10704, -0.276
10705, -0.272
10706, -0.274
10707, -0.278
10708, -0.280
10709, -0.279
10710, -0.280
10711, -0.288
10712, -0.289
10713, -0.294
10714, -0.291
10715, -0.290
10716, -0.283
10717, -0.285
10718, -0.289
10719, -0.280
10720, -0.286
10721, -0.278
10722, -0.280
10723, -0.276
10724, -0.269
10725, -0.269
10726, -0.261
10727, -0.256
10728, -0.248
10729, -0.243
10730, -0.236
10731, -0.236
10732, -0.235
10733, -0.234
10734, -0.240
10735, -0.236
10736, -0.240
10737, -0.246
10738, -0.247
10739, -0.246
10740, -0.238
10741, -0.236
10742, -0.226
10743, -0.226
10744, -0.235
10745, -0.247
10746, -0.235
10747, -0.243
10748, -0.242
10749, -0.244
10750, -0.245
10751, -0.245
10752, -0.243
10753, -0.238
10754, -0.249
10755, -0.247
10756, -0.250
10757, -0.236
10758, -0.231
10759, -0.225
10760, -0.228
10761, -0.232
10762, -0.231
10763, -0.226
10764, -0.232
10765, -0.238
10766, -0.227
10767, -0.229
10768, -0.218
10769, -0.219
10770, -0.221
10771, -0.215
10772, -0.219
10773, -0.225
10774, -0.217
10775, -0.217
10776, -0.217
10777, -0.210
10778, -0.215
10779, -0.226
10780, -0.226
10781, -0.234
10782, -0.234
10783, -0.243
10784, -0.246
10785, -0.245
10786, -0.248
10787, -0.257
10788, -0.255
10789, -0.260
10790, -0.260
10791, -0.258
10792, -0.250
10793, -0.252
10794, -0.244
10795, -0.235
10796, -0.236
10797, -0.234
10798, -0.225
10799, -0.226
10800, -0.237
10801, -0.236
10802, -0.240
10803, -0.246
10804, -0.255
10805, -0.252
10806, -0.254
10807, -0.254
10808, -0.250
10809, -0.249
10810, -0.240
10811, -0.245
10812, -0.249
10813, -0.247
10814, -0.258
10815, -0.250
10816, -0.249
10817, -0.243
10818, -0.242
10819, -0.238
10820, -0.245
10821, -0.254
10822, -0.255
10823, -0.261
10824, -0.266
10825, -0.266
10826, -0.264
10827, -0.265
10828, -0.275
10829, -0.284
10830, -0.279
10831, -0.276
10832, -0.269
10833, -0.270
10834, -0.266
10835, -0.264
10836, -0.267
10837, -0.263
10838, -0.272
10839, -0.270
10840, -0.265
10841, -0.270
10842, -0.270
10843, -0.283
10844, -0.278
10845, -0.274
10846, -0.267
10847, -0.266
10848, -0.268
10849, -0.273
10850, -0.277
10851, -0.277
10852, -0.272
10853, -0.272
10854, -0.288
10855, -0.289
10856, -0.288
10857, -0.307
10858, -0.303
10859, -0.315
10860, -0.313
10861, -0.317
10862, -0.326
10863, -0.324
10864, -0.326
10865, -0.321
10866, -0.317
10867, -0.323
10868, -0.327
10869, -0.324
10870, -0.328
10871, -0.325
10872, -0.326
10873, -0.321
10874, -0.324
10875, -0.327
10876, -0.332
10877, -0.329
10878, -0.336
10879, -0.348
10880, -0.354
10881, -0.350
10882, -0.352
10883, -0.348
10884, -0.356
10885, -0.350
10886, -0.347
10887, -0.345
10888, -0.347
10889, -0.347
10890, -0.341
10891, -0.336
10892, -0.340
10893, -0.344
10894, -0.348
10895, -0.356
10896, -0.344
10897, -0.339
10898, -0.344
10899, -0.337
10900, -0.326
10901, -0.331
10902, -0.335
10903, -0.327
10904, -0.327
10905, -0.327
10906, -0.331
10907, -0.330
10908, -0.332
10909, -0.323
10910, -0.323
10911, -0.317
10912, -0.323
10913, -0.319
10914, -0.320
10915, -0.323
10916, -0.321
10917, -0.326
10918, -0.325
10919, -0.338
10920, -0.342
10921, -0.334
10922, -0.340
10923, -0.339
10924, -0.340
10925, -0.338
10926, -0.350
10927, -0.355
10928, -0.349
10929, -0.345
10930, -0.354
10931, -0.345
10932, -0.354
10933, -0.347
10934, -0.335
10935, -0.317
10936, -0.312
10937, -0.319
10938, -0.318
10939, -0.308
10940, -0.306
10941, -0.312
10942, -0.307
10943, -0.309
10944, -0.314
10945, -0.313
10946, -0.308
10947, -0.301
10948, -0.305
10949, -0.311
10950, -0.310
10951, -0.302
10952, -0.298
10953, -0.291
10954, -0.289
10955, -0.275
10956, -0.276
10957, -0.270
10958, -0.270
10959, -0.258
10960, -0.260
10961, -0.259
10962, -0.261
10963, -0.251
10964, -0.258
10965, -0.252
10966, -0.252
10967, -0.250
10968, -0.250
10969, -0.266
10970, -0.259
10971, -0.262
10972, -0.261
10973, -0.261
10974, -0.261
10975, -0.263
10976, -0.256
10977, -0.256
10978, -0.260
10979, -0.265
10980, -0.266
10981, -0.276
10982, -0.276
10983, -0.276
10984, -0.279
10985, -0.280
10986, -0.285
10987, -0.278
10988, -0.284
10989, -0.291
10990, -0.296
10991, -0.293
10992, -0.299
10993, -0.291
10994, -0.286
10995, -0.278
10996, -0.269
10997, -0.269
10998, -0.270
10999, -0.266
11000, -0.269
11001, -0.259
11002, -0.261
11003, -0.266
11004, -0.263
11005, -0.255
11006, -0.246
11007, -0.243
11008, -0.228
11009, -0.232
11010, -0.236
11011, -0.237
11012, -0.231
11013, -0.228
11014, -0.239
11015, -0.244
11016, -0.242
11017, -0.240
11018, -0.241
11019, -0.233
11020, -0.230
11021, -0.226
11022, -0.219
11023, -0.239
11024, -0.234
11025, -0.238
11026, -0.225
11027, -0.232
11028, -0.234
11029, -0.239
11030, -0.229
11031, -0.240
11032, -0.243
11033, -0.235
11034, -0.228
11035, -0.228
11036, -0.222
11037, -0.225
11038, -0.220
11039, -0.223
11040, -0.209
11041, -0.203
11042, -0.204
11043, -0.204
11044, -0.202
11045, -0.210
11046, -0.214
11047, -0.214
11048, -0.213
11049, -0.219
11050, -0.228
11051, -0.228
11052, -0.233
11053, -0.240
11054, -0.241
11055, -0.235
11056, -0.235
11057, -0.236
11058, -0.234
11059, -0.228
11060, -0.215
11061, -0.217
11062, -0.211
11063, -0.202
11064, -0.198
11065, -0.193
11066, -0.190
11067, -0.187
11068, -0.180
11069, -0.186
11070, -0.185
11071, -0.185
11072, -0.181
11073, -0.192
11074, -0.192
11075, -0.177
11076, -0.171
11077, -0.163
11078, -0.156
11079, -0.163
11080, -0.159
11081, -0.162
11082, -0.147
11083, -0.145
11084, -0.167
11085, -0.171
11086, -0.170
11087, -0.164
11088, -0.164
11089, -0.170
11090, -0.175
11091, -0.173
11092, -0.162
11093, -0.163
11094, -0.169
11095, -0.172
11096, -0.170
11097, -0.173
11098, -0.177
11099, -0.183
11100, -0.183
11101, -0.186
11102, -0.189
11103, -0.196
11104, -0.191
11105, -0.184
11106, -0.188
11107, -0.183
11108, -0.178
11109, -0.182
11110, -0.176
11111, -0.175
11112, -0.180
11113, -0.182
11114, -0.183
11115, -0.175
11116, -0.161
11117, -0.165
11118, -0.157
11119, -0.163
11120, -0.166
11121, -0.174
11122, -0.175
11123, -0.173
11124, -0.176
11125, -0.180
11126, -0.185
11127, -0.174
11128, -0.170
11129, -0.168
11130, -0.165
11131, -0.178
11132, -0.187
11133, -0.189
11134, -0.181
11135, -0.178
11136, -0.176
11137, -0.168
11138, -0.161
11139, -0.165
11140, -0.161
11141, -0.175
11142, -0.171
11143, -0.180
11144, -0.180
11145, -0.173
11146, -0.160
11147, -0.166
11148, -0.160
11149, -0.162
11150, -0.161
11151, -0.160
11152, -0.151
11153, -0.151
11154, -0.142
11155, -0.135
11156, -0.137
11157, -0.145
11158, -0.140
11159, -0.146
11160, -0.134
11161, -0.147
11162, -0.152
11163, -0.147
11164, -0.152
11165, -0.158
11166, -0.157
11167, -0.150
11168, -0.152
11169, -0.155
11170, -0.160
11171, -0.158
11172, -0.158
11173, -0.168
11174, -0.159
11175, -0.147
11176, -0.159
11177, -0.171
11178, -0.171
11179, -0.166
11180, -0.157
11181, -0.168
11182, -0.171
11183, -0.173
11184, -0.165
11185, -0.165
11186, -0.157
11187, -0.161
11188, -0.151
11189, -0.148
11190, -0.145
11191, -0.146
11192, -0.159
11193, -0.156
11194, -0.151
11195, -0.147
11196, -0.146
11197, -0.136
11198, -0.130
11199, -0.132
11200, -0.130
11201, -0.133
11202, -0.134
11203, -0.125
11204, -0.136
11205, -0.146
11206, -0.152
11207, -0.150
11208, -0.160
11209, -0.165
11210, -0.169
11211, -0.167
11212, -0.171
11213, -0.180
11214, -0.169
11215, -0.160
11216, -0.154
11217, -0.145
11218, -0.146
11219, -0.140
11220, -0.143
11221, -0.149
11222, -0.155
11223, -0.154
11224, -0.147
11225, -0.146
11226, -0.149
11227, -0.152
11228, -0.153
11229, -0.155
11230, -0.156
11231, -0.165
11232, -0.175
11233, -0.181
11234, -0.186
11235, -0.184
11236, -0.178
11237, -0.180
11238, -0.185
11239, -0.188
11240, -0.181
11241, -0.178
11242, -0.185
11243, -0.172
11244, -0.184
11245, -0.190
11246, -0.181
11247, -0.170
11248, -0.175
11249, -0.175
11250, -0.175
11251, -0.159
11252, -0.164
11253, -0.156
11254, -0.153
11255, -0.155
11256, -0.165
11257, -0.162
11258, -0.164
11259, -0.156
11260, -0.159
11261, -0.155
11262, -0.152
11263, -0.154
11264, -0.151
11265, -0.137
11266, -0.137
11267, -0.128
11268, -0.120
11269, -0.126
11270, -0.134
11271, -0.120
11272, -0.118
11273, -0.125
11274, -0.134
11275, -0.131
11276, -0.125
11277, -0.122
11278, -0.121
11279, -0.124
11280, -0.125
11281, -0.125
11282, -0.131
11283, -0.130
11284, -0.121
11285, -0.123
11286, -0.112
11287, -0.112
11288, -0.106
11289, -0.113
11290, -0.120
11291, -0.114
11292, -0.122
11293, -0.120
11294, -0.132
11295, -0.140
11296, -0.141
11297, -0.145
11298, -0.145
11299, -0.147
11300, -0.140
11301, -0.133
11302, -0.119
11303, -0.116
11304, -0.114
11305, -0.119
11306, -0.122
11307, -0.124
11308, -0.125
11309, -0.122
11310, -0.120
11311, -0.110
11312, -0.104
11313, -0.092
11314, -0.093
11315, -0.078
11316, -0.076
11317, -0.086
11318, -0.100
11319, -0.093
11320, -0.094
11321, -0.095
11322, -0.101
11323, -0.102
11324, -0.096
11325, -0.103
11326, -0.109
11327, -0.112
11328, -0.118
11329, -0.115
11330, -0.115
11331, -0.110
11332, -0.106
11333, -0.105
11334, -0.098
11335, -0.095
11336, -0.098
11337, -0.096
11338, -0.090
11339, -0.094
11340, -0.097
11341, -0.095
11342, -0.093
11343, -0.084
11344, -0.086
11345, -0.089
11346, -0.091
11347, -0.092
11348, -0.099
11349, -0.098
11350, -0.100
11351, -0.107
11352, -0.101
11353, -0.109
11354, -0.104
11355, -0.100
11356, -0.119
11357, -0.107
11358, -0.106
11359, -0.101
11360, -0.100
11361, -0.104
11362, -0.115
11363, -0.114
11364, -0.115
11365, -0.108
11366, -0.107
11367, -0.110
11368, -0.113
11369, -0.121
11370, -0.113
11371, -0.121
11372, -0.129
11373, -0.120
11374, -0.110
11375, -0.113
11376, -0.108
11377, -0.112
11378, -0.106
11379, -0.111
11380, -0.117
11381, -0.112
11382, -0.111
11383, -0.117
11384, -0.125
11385, -0.121
11386, -0.114
11387, -0.120
11388, -0.126
11389, -0.123
11390, -0.117
11391, -0.122
11392, -0.120
11393, -0.116
11394, -0.114
11395, -0.113
11396, -0.117
11397, -0.115
11398, -0.111
11399, -0.107
11400, -0.113
11401, -0.109
11402, -0.097
11403, -0.089
11404, -0.093
11405, -0.092
11406, -0.097
11407, -0.096
11408, -0.090
11409, -0.101
11410, -0.112
11411, -0.112
11412, -0.102
11413, -0.097
11414, -0.091
11415, -0.091
11416, -0.091
11417, -0.089
11418, -0.095
11419, -0.088
11420, -0.102
11421, -0.108
11422, -0.112
11423, -0.121
11424, -0.126
11425, -0.131
11426, -0.132
11427, -0.135
11428, -0.141
11429, -0.143
11430, -0.138
11431, -0.145
11432, -0.143
11433, -0.148
11434, -0.147
11435, -0.158
11436, -0.158
11437, -0.163
11438, -0.161
11439, -0.151
11440, -0.151
11441, -0.158
11442, -0.152
11443, -0.158
11444, -0.163
11445, -0.158
11446, -0.158
11447, -0.166
11448, -0.164
11449, -0.176
11450, -0.164
11451, -0.170
11452, -0.176
11453, -0.157
11454, -0.166
11455, -0.161
11456, -0.150
11457, -0.143
11458, -0.127
11459, -0.119
11460, -0.120
11461, -0.123
11462, -0.127
11463, -0.127
11464, -0.126
11465, -0.123
11466, -0.133
11467, -0.128
11468, -0.133
11469, -0.123
11470, -0.126
11471, -0.127
11472, -0.126
11473, -0.118
11474, -0.117
11475, -0.103
11476, -0.102
11477, -0.088
11478, -0.097
11479, -0.105
11480, -0.099
11481, -0.100
11482, -0.099
11483, -0.094
11484, -0.097
11485, -0.106
11486, -0.106
11487, -0.104
11488, -0.107
11489, -0.111
11490, -0.113
11491, -0.111
11492, -0.120
11493, -0.113
11494, -0.129
11495, -0.116
11496, -0.119
11497, -0.116
11498, -0.118
11499, -0.108
11500, -0.112
11501, -0.101
11502, -0.111
11503, -0.115
11504, -0.120
11505, -0.128
11506, -0.126
11507, -0.118
11508, -0.122
11509, -0.126
11510, -0.133
11511, -0.126
11512, -0.129
11513, -0.137
11514, -0.130
11515, -0.130
11516, -0.129
11517, -0.122
11518, -0.117
11519, -0.121
11520, -0.117
11521, -0.119
11522, -0.107
11523, -0.105
11524, -0.111
11525, -0.104
11526, -0.104
11527, -0.098
11528, -0.086
11529, -0.089
11530, -0.094
11531, -0.091
11532, -0.087
11533, -0.070
11534, -0.074
11535, -0.083
11536, -0.088
11537, -0.081
11538, -0.081
11539, -0.084
11540, -0.091
11541, -0.093
11542, -0.089
11543, -0.099
11544, -0.097
11545, -0.102
11546, -0.100
11547, -0.098
11548, -0.103
11549, -0.104
11550, -0.108
11551, -0.120
11552, -0.118
11553, -0.121
11554, -0.111
11555, -0.112
11556, -0.119
11557, -0.112
11558, -0.107
11559, -0.106
11560, -0.104
11561, -0.110
11562, -0.118
11563, -0.126
11564, -0.112
11565, -0.105
11566, -0.106
11567, -0.113
11568, -0.111
11569, -0.110
11570, -0.117
11571, -0.109
11572, -0.106
11573, -0.098
11574, -0.108
11575, -0.113
11576, -0.111
11577, -0.108
11578, -0.110
11579, -0.116
11580, -0.113
11581, -0.112
11582, -0.110
11583, -0.107
11584, -0.112
11585, -0.118
11586, -0.118
11587, -0.104
11588, -0.105
11589, -0.093
11590, -0.095
11591, -0.097
11592, -0.098
11593, -0.097
11594, -0.095
11595, -0.099
11596, -0.096
11597, -0.089
11598, -0.085
11599, -0.080
11600, -0.074
11601, -0.084
11602, -0.093
11603, -0.088
11604, -0.094
11605, -0.090
11606, -0.098
11607, -0.104
11608, -0.107
11609, -0.108
11610, -0.104
11611, -0.105
11612, -0.109
11613, -0.109
11614, -0.110
11615, -0.115
11616, -0.112
11617, -0.124
11618, -0.113
11619, -0.106
11620, -0.107
11621, -0.120
11622, -0.117
11623, -0.103
11624, -0.095
11625, -0.086
11626, -0.090
11627, -0.088
11628, -0.083
11629, -0.084
11630, -0.086
11631, -0.079
11632, -0.084
11633, -0.075
11634, -0.088
11635, -0.090
11636, -0.091
11637, -0.090
11638, -0.097
11639, -0.088
11640, -0.084
11641, -0.077
11642, -0.078
11643, -0.076
11644, -0.074
11645, -0.072
11646, -0.067
11647, -0.064
11648, -0.068
11649, -0.080
11650, -0.084
11651, -0.095
11652, -0.094
11653, -0.084
11654, -0.085
11655, -0.084
11656, -0.086
11657, -0.082
11658, -0.083
11659, -0.089
11660, -0.086
11661, -0.078
11662, -0.083
11663, -0.088
11664, -0.099
11665, -0.103
11666, -0.096
11667, -0.096
11668, -0.086
11669, -0.087
11670, -0.092
11671, -0.093
11672, -0.096
11673, -0.099
11674, -0.104
11675, -0.108
11676, -0.108
11677, -0.123
11678, -0.134
11679, -0.141
11680, -0.145
11681, -0.143
11682, -0.135
11683, -0.137
11684, -0.134
11685, -0.126
11686, -0.126
11687, -0.124
11688, -0.118
11689, -0.118
11690, -0.113
11691, -0.122
11692, -0.113
11693, -0.109
11694, -0.119
11695, -0.108
11696, -0.102
11697, -0.101
11698, -0.103
11699, -0.098
11700, -0.089
11701, -0.085
11702, -0.082
11703, -0.072
11704, -0.068
11705, -0.064
11706, -0.064
11707, -0.076
11708, -0.075
11709, -0.077
11710, -0.077
11711, -0.079
11712, -0.088
11713, -0.094
11714, -0.090
11715, -0.099
11716, -0.095
11717, -0.101
11718, -0.096
11719, -0.102
11720, -0.089
11721, -0.084
11722, -0.090
11723, -0.087
11724, -0.093
11725, -0.087
11726, -0.093
11727, -0.097
11728, -0.095
11729, -0.096
11730, -0.102
11731, -0.106
11732, -0.100
11733, -0.098
11734, -0.114
11735, -0.102
11736, -0.103
11737, -0.103
11738, -0.099
11739, -0.091
11740, -0.086
11741, -0.080
11742, -0.082
11743, -0.087
11744, -0.079
11745, -0.077
11746, -0.089
11747, -0.092
11748, -0.074
11749, -0.080
11750, -0.087
11751, -0.087
11752, -0.085
11753, -0.081
11754, -0.076
11755, -0.068
11756, -0.080
11757, -0.081
11758, -0.074
11759, -0.068
11760, -0.064
11761, -0.059
11762, -0.056
11763, -0.068
11764, -0.071
11765, -0.063
11766, -0.069
11767, -0.072
11768, -0.081
11769, -0.085
11770, -0.083
11771, -0.092
11772, -0.086
11773, -0.088
11774, -0.080
11775, -0.085
11776, -0.093
11777, -0.091
11778, -0.082
11779, -0.093
11780, -0.099
11781, -0.094
11782, -0.106
11783, -0.099
11784, -0.100
11785, -0.092
11786, -0.099
11787, -0.089
11788, -0.093
11789, -0.084
11790, -0.082
11791, -0.086
11792, -0.088
11793, -0.091
11794, -0.098
11795, -0.105
11796, -0.109
11797, -0.102
11798, -0.097
11799, -0.100
11800, -0.095
11801, -0.103
11802, -0.096
11803, -0.101
11804, -0.117
11805, -0.121
11806, -0.121
11807, -0.123
11808, -0.128
11809, -0.126
11810, -0.125
11811, -0.113
11812, -0.128
11813, -0.124
11814, -0.116
11815, -0.120
11816, -0.108
11817, -0.101
11818, -0.102
11819, -0.097
11820, -0.092
11821, -0.095
11822, -0.096
11823, -0.091
11824, -0.084
11825, -0.085
11826, -0.093
11827, -0.081
11828, -0.086
11829, -0.082
11830, -0.085
11831, -0.080
11832, -0.088
11833, -0.083
11834, -0.078
11835, -0.072
11836, -0.081
11837, -0.085
11838, -0.101
11839, -0.105
11840, -0.103
11841, -0.105
11842, -0.104
11843, -0.100
11844, -0.099
11845, -0.098
11846, -0.105
11847, -0.116
11848, -0.121
11849, -0.126
11850, -0.128
11851, -0.131
11852, -0.133
11853, -0.137
11854, -0.137
11855, -0.132
11856, -0.135
11857, -0.136
11858, -0.134
11859, -0.135
11860, -0.135
11861, -0.134
11862, -0.135
11863, -0.123
11864, -0.112
11865, -0.118
11866, -0.123
11867, -0.119
11868, -0.115
11869, -0.118
11870, -0.123
11871, -0.127
11872, -0.121
11873, -0.125
11874, -0.127
11875, -0.127
11876, -0.127
11877, -0.138
11878, -0.137
11879, -0.140
11880, -0.138
11881, -0.135
11882, -0.126
11883, -0.134
11884, -0.122
11885, -0.114
11886, -0.104
11887, -0.106
11888, -0.102
11889, -0.098
11890, -0.098
11891, -0.100
11892, -0.116
11893, -0.123
11894, -0.120
11895, -0.118
11896, -0.129
11897, -0.128
11898, -0.122
11899, -0.123
11900, -0.118
11901, -0.124
11902, -0.125
11903, -0.120
11904, -0.124
11905, -0.124
11906, -0.129
11907, -0.132
11908, -0.129
11909, -0.137
11910, -0.136
11911, -0.143
11912, -0.145
11913, -0.143
11914, -0.135
11915, -0.142
11916, -0.140
11917, -0.145
11918, -0.135
11919, -0.143
11920, -0.150
11921, -0.146
11922, -0.152
11923, -0.154
11924, -0.153
11925, -0.150
11926, -0.153
11927, -0.149
11928, -0.143
11929, -0.129
11930, -0.114
11931, -0.116
11932, -0.111
11933, -0.119
11934, -0.119
11935, -0.114
11936, -0.112
11937, -0.117
11938, -0.120
11939, -0.118
11940, -0.128
11941, -0.130
11942, -0.129
11943, -0.128
11944, -0.118
11945, -0.111
11946, -0.114
11947, -0.111
11948, -0.107
11949, -0.113
11950, -0.124
11951, -0.134
11952, -0.136
11953, -0.141
11954, -0.151
11955, -0.152
11956, -0.163
11957, -0.176
11958, -0.171
11959, -0.171
11960, -0.160
11961, -0.167
11962, -0.165
11963, -0.157
11964, -0.166
11965, -0.179
11966, -0.183
11967, -0.187
11968, -0.185
11969, -0.186
11970, -0.174
11971, -0.171
11972, -0.164
11973, -0.150
11974, -0.157
11975, -0.157
11976, -0.152
11977, -0.150
11978, -0.141
11979, -0.146
11980, -0.141
11981, -0.144
11982, -0.143
11983, -0.146
11984, -0.145
11985, -0.138
11986, -0.134
11987, -0.137
11988, -0.128
11989, -0.125
11990, -0.125
11991, -0.119
11992, -0.117
11993, -0.118
11994, -0.125
11995, -0.124
11996, -0.129
11997, -0.125
11998, -0.113
11999, -0.111
12000, -0.113
12001, -0.113
12002, -0.121
12003, -0.124
12004, -0.130
12005, -0.129
12006, -0.133
12007, -0.132
12008, -0.131
12009, -0.133
12010, -0.137
12011, -0.133
12012, -0.117
12013, -0.108
12014, -0.102
12015, -0.103
12016, -0.113
12017, -0.108
12018, -0.111
12019, -0.116
12020, -0.108
12021, -0.110
12022, -0.114
12023, -0.113
12024, -0.106
12025, -0.108
12026, -0.109
12027, -0.125
12028, -0.121
12029, -0.129
12030, -0.125
12031, -0.115
12032, -0.107
12033, -0.113
12034, -0.106
12035, -0.103
12036, -0.096
12037, -0.091
12038, -0.101
12039, -0.091
12040, -0.088
12041, -0.089
12042, -0.093
12043, -0.090
12044, -0.095
12045, -0.098
12046, -0.091
12047, -0.091
12048, -0.088
12049, -0.089
12050, -0.090
12051, -0.096
12052, -0.103
12053, -0.102
12054, -0.099
12055, -0.098
12056, -0.106
12057, -0.107
12058, -0.112
12059, -0.109
12060, -0.112
12061, -0.113
12062, -0.110
12063, -0.105
12064, -0.103
12065, -0.101
12066, -0.088
12067, -0.086
12068, -0.089
12069, -0.093
12070, -0.101
12071, -0.100
12072, -0.081
12073, -0.073
12074, -0.072
12075, -0.081
12076, -0.071
12077, -0.065
12078, -0.064
12079, -0.065
12080, -0.076
12081, -0.066
12082, -0.061
12083, -0.056
12084, -0.051
12085, -0.045
12086, -0.059
12087, -0.067
12088, -0.071
12089, -0.079
12090, -0.083
12091, -0.088
12092, -0.085
12093, -0.086
12094, -0.078
12095, -0.075
12096, -0.078
12097, -0.066
12098, -0.073
12099, -0.078
12100, -0.082
12101, -0.077
12102, -0.066
12103, -0.062
12104, -0.061
12105, -0.067
12106, -0.076
12107, -0.081
12108, -0.081
12109, -0.082
12110, -0.089
12111, -0.084
12112, -0.094
12113, -0.087
12114, -0.085
12115, -0.079
12116, -0.086
12117, -0.082
12118, -0.093
12119, -0.088
12120, -0.103
12121, -0.100
12122, -0.107
12123, -0.110
12124, -0.104
12125, -0.098
12126, -0.107
12127, -0.104
12128, -0.101
12129, -0.104
12130, -0.094
12131, -0.099
12132, -0.107
12133, -0.099
12134, -0.092
12135, -0.093
12136, -0.083
12137, -0.077
12138, -0.082
12139, -0.085
12140, -0.083
12141, -0.081
12142, -0.078
12143, -0.081
12144, -0.072
12145, -0.071
12146, -0.078
12147, -0.073
12148, -0.071
12149, -0.060
12150, -0.064
12151, -0.065
12152, -0.054
12153, -0.052
12154, -0.048
12155, -0.050
12156, -0.059
12157, -0.063
12158, -0.064
12159, -0.057
12160, -0.040
12161, -0.035
12162, -0.033
12163, -0.031
12164, -0.034
12165, -0.036
12166, -0.039
12167, -0.046
12168, -0.044
12169, -0.036
12170, -0.034
12171, -0.034
12172, -0.034
12173, -0.037
12174, -0.035
12175, -0.033
12176, -0.031
12177, -0.022
12178, -0.021
12179, -0.015
12180, -0.022
12181, -0.033
12182, -0.023
12183, -0.019
12184, -0.024
12185, -0.034
12186, -0.020
12187, -0.027
12188, -0.029
12189, -0.023
12190, -0.020
12191, -0.017
12192, -0.003
12193, -0.008
12194, -0.000
12195, -0.012
12196, -0.009
12197, 0.002
12198, 0.004
12199, 0.006
12200, -0.002
12201, 0.003
12202, -0.005
12203, -0.009
12204, -0.013
12205, -0.016
12206, -0.029
12207, -0.028
12208, -0.018
12209, -0.013
12210, -0.017
12211, -0.012
12212, -0.010
12213, -0.013
12214, -0.010
12215, -0.006
12216, -0.003
12217, -0.002
12218, -0.006
12219, 0.001
12220, -0.003
12221, 0.008
12222, 0.010
12223, 0.011
12224, 0.013
12225, 0.002
12226, 0.012
12227, 0.028
12228, 0.038
12229, 0.026
12230, 0.027
12231, 0.029
12232, 0.030
12233, 0.025
12234, 0.013
12235, -0.002
12236, 0.006
12237, -0.003
12238, -0.004
12239, -0.016
12240, -0.019
12241, -0.009
12242, -0.013
12243, -0.018
12244, -0.025
12245, -0.036
12246, -0.033
12247, -0.028
12248, -0.019
12249, -0.022
12250, -0.012
12251, -0.004
12252, -0.003
12253, -0.006
12254, -0.005
12255, -0.006
12256, -0.007
12257, -0.003
12258, 0.007
12259, -0.006
12260, -0.011
12261, -0.001
12262, -0.007
12263, -0.002
12264, -0.008
12265, -0.005
12266, -0.009
12267, -0.011
12268, -0.012
12269, -0.004
12270, -0.002
12271, -0.006
12272, -0.006
12273, -0.013
12274, -0.007
12275, -0.005
12276, 0.004
12277, -0.004
12278, -0.010
12279, -0.005
12280, -0.000
12281, 0.000
12282, -0.004
12283, 0.008
12284, 0.008
12285, 0.013
12286, 0.005
12287, 0.006
12288, 0.015
12289, 0.017
12290, 0.010
12291, 0.014
12292, 0.024
12293, 0.031
12294, 0.019
12295, 0.031
12296, 0.032
12297, 0.029
12298, 0.018
12299, 0.017
12300, 0.024
12301, 0.029
12302, 0.038
12303, 0.041
12304, 0.054
12305, 0.054
12306, 0.049
12307, 0.039
12308, 0.046
12309, 0.037
12310, 0.031
12311, 0.051
12312, 0.048
12313, 0.055
12314, 0.061
12315, 0.056
12316, 0.045
12317, 0.045
12318, 0.041
12319, 0.036
12320, 0.039
12321, 0.043
12322, 0.039
12323, 0.054
12324, 0.049
12325, 0.048
12326, 0.055
12327, 0.056
12328, 0.052
12329, 0.034
12330, 0.032
12331, 0.023
12332, 0.025
12333, 0.026
12334, 0.025
12335, 0.029
12336, 0.020
12337, 0.024
12338, 0.025
12339, 0.016
12340, 0.015
12341, 0.021
12342, 0.028
12343, 0.023
12344, 0.019
12345, 0.021
12346, 0.023
12347, 0.021
12348, 0.032
12349, 0.031
12350, 0.020
12351, 0.018
12352, 0.018
12353, 0.020
12354, 0.016
12355, 0.023
12356, 0.027
12357, 0.036
12358, 0.028
12359, 0.029
12360, 0.040
